酒店名称	酒店类型	位置信息	起价	评分	点评数
巴洛克酒店(哈尔滨中华巴洛克店)	高档型	近中华巴洛克风情街 · 道外巴洛克	¥774起	4.8	共324条评论
哈尔滨私家白领高档公寓索菲亚中央大街店	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥345起	4.7	共60条评论
凯悦之星连锁宾馆(哈站站前广场店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥353起	4.4	共330条评论
哈尔滨中央大街璞硯酒店	豪华型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥2327起	4.8	共2323条评论
凯伦商务酒店(哈尔滨会展中心店)	高档型	近哈尔滨国际会展中心 · 龙塔/会展中心	¥382起	4.8	共214条评论
蒲公英宾馆(哈尔滨哈西站万达广场店)	经济型	近哈西万达广场 · 哈西万达广场	¥161起	4.8	共197条评论
弘源精品酒店(劳动公园地铁站远东心脑血管医院店)	经济型	近进乡街地铁站 · 乐松广场/东北林业大学/香坊商业区	¥148起	4.5	共151条评论
同亨宾馆(哈尔滨医科大学医大二院店)	经济型	近哈尔滨医科大学附属第二医院 · 江南大学城	¥271起	4.4	共23条评论
安暖公寓(哈尔滨冰雪大世界融创乐园店)	经济型	近世茂大道 · 冰雪大世界/太阳岛	¥358起	4.8	共26条评论
寒舍客栈(中华巴洛克街区地铁站店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥780起	4.7	共458条评论
哈尔滨利奥小屋主题宾馆	经济型	近省医院地铁站 · 龙塔/会展中心	¥205起	4.8	共27条评论
哈尔滨雪阅商旅酒店	高档型	近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院	¥597起	4.8	共462条评论
哈尔滨平安商务酒店	舒适型	近731部队罪证遗址 · 平房区政府	¥347起	4.7	共60条评论
哈尔滨友红快捷宾馆		近烟厂地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥73起	4.8	共46条评论
哈尔滨风解铃·大有公寓(哈尔滨西站万达广场店)	经济型	近哈西万达广场 · 哈西万达广场	¥311起	4.8	共179条评论
晴宿民宿(哈尔滨江北大学城学院路店)	经济型	近哈尔滨信息工程学院	¥326起	4.9	共196条评论
哈尔滨中央大街钰轩酒店(索菲亚教堂店)	高档型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥967起	4.6	共516条评论
哈尔滨北岸青年旅店(中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥94起	4.8	共284条评论
哈尔滨四益堂旅馆	经济型	近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔	¥168起	4.9	共12条评论
极境智慧电竞酒店(群力店)	经济型	近远大购物中心(群力店) · 群力新区	¥407起	5.0	共6条评论
哈尔滨四季如春酒店	舒适型	近银泰城 · 群力新区	¥429起	4.6	共15条评论
陈阿姨公寓(黄河路分店)	经济型	近哈尔滨国际会展中心 · 龙塔/会展中心	¥115起	4.8	共41条评论
龙运宾馆(哈尔滨火车站站前广场店)	舒适型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥781起	4.6	共471条评论
宜家精品宾馆(哈尔滨中华巴洛克风情街店)	经济型	近清真寺地铁站 · 道外巴洛克	¥163起	4.6	共53条评论
彼家精选酒店(哈尔滨西站汇智中心店)	经济型	近哈尔滨西站 · 哈西万达广场	¥510起	4.8	共249条评论
麗枫酒店(哈尔滨中央大街防洪纪念塔店)	舒适型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1703起	4.9	共1626条评论
哈尔滨莫顿酒店	经济型	近江北大学城地铁站 · 江北大学城	¥100起	4.4	共80条评论
M影愿酒店(黑大理工店)	经济型	近黑龙江大学 · 江南大学城	¥350起	4.8	共63条评论
哈尔滨时光留宿公寓	经济型	近红旗大街 · 龙塔/会展中心	¥302起	5.0	共48条评论
哈尔滨悦途酒店式公寓(哈西万达广场店)	经济型	近哈西万达广场 · 哈西万达广场	¥252起	4.9	共25条评论
哈尔滨群力智选假日酒店	高档型	近澜亭水汇 · 群力新区	¥1315起	4.8	共1678条评论
派酒店(哈尔滨中央大街索菲亚教堂市医院店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥495起	4.8	共771条评论
哈尔滨茹家商务公寓	经济型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥230起	4.8	共165条评论
哈尔滨嘉鑫快捷旅馆	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥259起	4.8	共37条评论
马迭尔·宿汽车主题酒店(哈尔滨冰雪大世界店)	经济型	近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥395起	4.9	共345条评论
哈尔滨浪漫西城酒店	舒适型	近哈尔滨西站 · 哈西万达广场	¥407起	4.9	共236条评论
金芒果假日宾馆(哈尔滨中山路店)	经济型	近中山路 · 龙塔/会展中心	¥152起	4.8	共63条评论
天洋宾馆(哈尔滨会展中心店)	经济型	近会展中心地铁站 · 龙塔/会展中心	¥319起	4.7	共94条评论
茗嘉宾馆(哈尔滨西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥478起	4.8	共219条评论
乌托邦酒店式公寓(哈尔滨冰雪大世界店)	经济型	近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔	¥397起	4.9	共94条评论
新旺酒店式公寓(中央大街索非亚教堂店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥979起	4.7	共210条评论
哈尔滨纳丰隆商务宾馆	经济型	近化工路与先锋路交叉口 · 工程大学/哈尔滨东站	¥172起	4.7	共19条评论
哈尔滨泡泡时尚水汇酒店	经济型	近哈尔滨工业大学(二校区) · 龙塔/会展中心	¥305起	4.6	共52条评论
哈尔滨中天假日宾馆		近哈尔滨医科大学附属肿瘤医院 · 医大二院/哈南站	¥123起	4.5	共16条评论
云·柒民宿	经济型	近江北大学城地铁站 · 江北大学城	¥215起	4.9	共14条评论
M影愿酒店(哈尔滨学府凯德店)	经济型	近学府路地铁站 · 江南大学城	¥293起	4.8	共143条评论
哈尔滨御枫酒店(中央大街索菲亚教堂店)	高档型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥2522起	4.9	共5159条评论
哈尔滨嘉诚旅店	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥71起	4.8	共15条评论
来福宾馆(哈尔滨太平国际机场店)	经济型	近野狼湖生态风景区 · 太平国际机场地区	¥151起	4.8	共307条评论
学府宾馆	经济型	近黑龙江大学 · 江南大学城	¥182起	4.6	共96条评论
哈尔滨罗尔曼主题电竞公寓	经济型	近哈西万达广场 · 哈西万达广场	¥312起	4.9	共150条评论
哈尔滨花夜民宿	经济型	近江北大学城地铁站 · 江北大学城	¥134起	4.9	共39条评论
百家公寓(哈尔滨香坊万达店)	经济型	近省医院地铁站 · 龙塔/会展中心	¥238起	4.7	共176条评论
哈尔滨富源旅店	经济型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥71起	4.9	共6条评论
哈尔滨晟佳商务宾馆	经济型	近省政府地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥227起	4.7	共37条评论
哈尔滨嘉悦民宿	经济型	近江北大学城地铁站 · 江北大学城	¥163起	4.9	共65条评论
哈尔滨恒大国际精品服务公寓	经济型	近远大购物中心(群力店) · 群力新区	¥318起	4.6	共220条评论
维也纳酒店(哈尔滨中央大街索菲亚店)	舒适型	近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1447起	4.8	共956条评论
紫居民宿(江畔路店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥627起	5.0	共22条评论
哈尔滨中央大街艾欧轻奢酒店(公路大桥店)	舒适型	近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔	¥805起	4.8	共224条评论
地玖公馆酒店(哈尔滨中央店)	舒适型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥988起	4.8	共554条评论
哈尔滨芒果自助公寓	经济型	近东北林业大学 · 江南大学城	¥213起	4.9	共56条评论
哈尔滨雪黎优品酒店(中央大街索菲亚教堂店)	高档型	近圣索菲亚教堂 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1487起	4.8	共1522条评论
雅居宾馆民宿	经济型	近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥87起	4.1	共20条评论
思冉酒店式公寓(哈尔滨西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥337起	4.9	共142条评论
哈西珍橘公寓(哈尔滨黑龙江大学店)	经济型	近哈尔滨医科大学 · 江南大学城	¥121起	4.5	共7条评论
哈尔滨索菲特大酒店	五星级	近省医院地铁站 · 龙塔/会展中心	¥1606起	4.9	共1518条评论
哈尔滨素林酒店公寓	经济型	近远大购物中心(群力店) · 群力新区	¥306起	4.9	共43条评论
哈尔滨左岸宾馆(江北师大学院路店)	经济型	近江北大学城地铁站 · 江北大学城	¥81起	4.8	共89条评论
哈尔滨滨钢宾馆(省医院店)	经济型	近红旗大街 · 龙塔/会展中心	¥152起	4.5	共36条评论
哈尔滨苹果假日公寓	经济型	近黑龙江大学 · 江南大学城	¥227起	4.6	共20条评论
哈尔滨丽尚·雅居公寓(群力星光耀店)	经济型	近群力大道 · 群力新区	¥192起	4.8	共28条评论
哈尔滨芒果酒店式公寓	经济型	近远大购物中心(群力店) · 群力新区	¥192起	4.8	共53条评论
哈尔滨祥云宾馆(太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥157起	4.9	共3087条评论
哈尔滨蘭舍酒店	高档型	近印象城 · 阿城商业区	¥243起	4.7	共171条评论
怡家酒店式公寓(群力远大店)	经济型	近远大购物中心(群力店) · 群力新区	¥233起	4.9	共100条评论
紫云旅店(哈尔滨火车站店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥111起	4.4	共21条评论
阿勒锦酒店(哈尔滨西站万达广场店)	舒适型	近哈西万达广场 · 哈西万达广场	¥468起	4.9	共101条评论
哈尔滨福裕商务酒店(万达广场龙塔店)	高档型	近省政府地铁站 · 龙塔/会展中心	¥643起	4.8	共370条评论
宏府时尚主题宾馆(哈尔滨中央大街店)		近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥268起	4.8	共51条评论
巧克力精品旅馆(哈尔滨农大店)	经济型	近东北农业大学地铁站 · 龙塔/会展中心	¥123起	4.6	共72条评论
双城逸然华都商务宾馆	经济型	近哈尔滨市双城区人民政府 · 双城	¥99起	4.9	共23条评论
哈尔滨吉图宾悦商务酒店	经济型	近哈尔滨市双城区人民政府 · 双城	¥143起	4.8	共95条评论
哈尔滨金瑞宾馆(哈西万达广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥92起	4.0	共47条评论
哈尔滨龙德宾馆	经济型	近哈尔滨医科大学附属第一医院 · 道外巴洛克	¥177起	4.9	共17条评论
一品兰亭公寓(哈尔滨哈西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥335起	5.0	共38条评论
品阁商务宾馆(哈尔滨中央大街店)	经济型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥283起	4.7	共175条评论
哈尔滨八荒通神美术馆酒店	高档型	近江北大学城地铁站 · 江北大学城	¥573起	4.7	共175条评论
哈尔滨谭格美酒店(会展中心店)	豪华型	近省医院地铁站 · 龙塔/会展中心	¥1812起	4.7	共304条评论
哈尔滨欧尚精品酒店(卓展购物中心店)	经济型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥462起	4.6	共70条评论
启航宾馆(太平国际机场店)	经济型	近太平镇人民政府 · 太平国际机场地区	¥205起	4.9	共81条评论
M影愿酒店(哈尔滨乐松店)		近乐松购物广场 · 乐松广场/东北林业大学/香坊商业区	¥198起	4.6	共49条评论
悦朗主题宾馆(哈尔滨师大夜市店)	经济型	近哈尔滨师大夜市 · 江南大学城	¥111起	4.8	共97条评论
哈尔滨客来轩民宿	经济型	近黑龙江农垦职业学院 · 江北大学城	¥71起	4.9	共12条评论
哈尔滨万宇科技园酒店	四星级	近731部队罪证遗址 · 平房区政府	¥217起	4.8	共180条评论
儒雅民宿		近地中海阳光 · 冰雪大世界/太阳岛	¥292起	4.9	共12条评论
哈尔滨忻佳宾馆	经济型	近731部队罪证遗址 · 平房区政府	¥74起	4.9	共322条评论
哈尔滨马迭尔·宿宾馆(医大二院店)	经济型	近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥257起	4.9	共504条评论
新世界宾馆(哈尔滨太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥140起	4.8	共147条评论
哈尔滨鑫宇宾馆		近印象城 · 阿城商业区	¥100起	4.5	共78条评论
哈尔滨最佳西方财富酒店	高档型	近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥580起	4.7	共173条评论
梓里酒店(哈尔滨江北大学城北站店)	经济型	近江北大学城地铁站 · 江北大学城	¥179起	4.4	共219条评论
伯爵酒店(哈尔滨中央大街索菲亚教堂店)	高档型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥5138起	4.8	共1023条评论
哈尔滨冰城假日宾馆(工程大学百盛商场店)	经济型	近哈尔滨工程大学 · 工程大学/哈尔滨东站	¥182起	4.5	共64条评论
哈尔滨金安商务宾馆	经济型	近卓越时代购物广场(和平大街店) · 双城	¥90起	4.9	共414条评论
迎宾家庭旅馆(哈尔滨石头道街店)		近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥283起	4.8	共9条评论
哈尔滨双盛赛福商务酒店	经济型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥334起	4.4	共34条评论
银泰贝肯山甄选酒店	经济型	近银泰城 · 群力新区	¥485起	4.9	共65条评论
童乐精品Loft公寓	经济型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥230起	4.9	共51条评论
哈尔滨兴隆快捷宾馆(火车站南广场店)		近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥178起	4.7	共175条评论
四季云端连锁宾馆(师大夜市店)	经济型	近哈尔滨师大夜市 · 江南大学城	¥313起	4.7	共246条评论
哈尔滨凯悦旅馆		近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥49起	4.4	共25条评论
哈尔滨君轩公寓(哈西商厦店)	经济型	近黑龙江大学 · 江南大学城	¥144起	4.7	共43条评论
哈尔滨漫悠民宿(中央大街店)	经济型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥232起	4.9	共25条评论
哈尔滨群力远大星容寓酒店式公寓	经济型	近群力大道 · 群力新区	¥184起	4.9	共149条评论
哈尔滨逸寨公寓(哈西万达广场高铁站店)	经济型	近哈西万达广场 · 哈西万达广场	¥549起	4.9	共38条评论
全家福宾馆(哈尔滨医大一院店)		近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥284起	4.6	共30条评论
大宗快捷宾馆	经济型	近哈尔滨医科大学附属第一医院(群力院区) · 群力新区	¥139起	4.8	共43条评论
哈尔滨欣怡宾馆	经济型	近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥198起	4.8	共25条评论
北方宾馆(哈尔滨西站哈西万达广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥244起	4.2	共21条评论
米客民宿	经济型	近哈尔滨西站 · 哈西万达广场	¥324起	4.7	共8条评论
轻宿小筑影音主题酒店(哈尔滨乐松广场三大动力店)	经济型	近乐松购物广场 · 乐松广场/东北林业大学/香坊商业区	¥359起	4.8	共79条评论
旭航宾馆(哈尔滨太平国际机场店)	经济型	近空港一路 · 太平国际机场地区	¥90起	4.6	共34条评论
宜居优选公寓(哈尔滨西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥315起	4.8	共37条评论
悦舍民宿(中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1736起	4.9	共8条评论
汉庭酒店(哈尔滨景阳街中华巴洛克店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥589起	4.7	共236条评论
艳娟民宿		近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥155起	4.8	共16条评论
