,酒店名称,酒店类型,位置信息,起价,评分,点评数,最低价
499,勃莱梅假日酒店(哈尔滨索菲亚教堂火车站店),高档型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥730起,4.4,共222条评论,¥730
500,哈尔滨机场太平湖温泉酒店,高档型,近太平湖温泉小镇一期 · 太平国际机场地区,¥388起,4.8,共34条评论,¥388
501,哈尔滨美丽家公寓,经济型,近哈尔滨松北万象汇 · 冰雪大世界/太阳岛,¥194起,4.9,共10条评论,¥194
502,卓菲酒店(哈尔滨中医药大学店),经济型,近黑龙江中医药大学附属第一医院 · 乐松广场/东北林业大学/香坊商业区,¥412起,4.7,共442条评论,¥412
503,哈尔滨勃莱梅大酒店,豪华型,近省医院地铁站 · 龙塔/会展中心,¥950起,4.8,共318条评论,¥950
504,哈尔滨正明大酒店(火车站医大一院地铁站店),高档型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥1008起,4.8,共1211条评论,¥1008
505,22℃精品主题酒店(哈尔滨群力远大店),高档型,近远大购物中心(群力店) · 群力新区,¥681起,4.7,共125条评论,¥681
506,卡尔酒店(哈尔滨西站万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥688起,4.9,共1578条评论,¥688
507,金诺宾馆(哈尔滨太平国际机场店),经济型,近先富小学校 · 太平国际机场地区,¥315起,4.5,共41条评论,¥315
508,哈尔滨汇智中心甄选酒店(哈尔滨哈西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥395起,4.9,共456条评论,¥395
509,泊尘·古伦酒店(哈尔滨万达广场西站店),舒适型,近哈尔滨西站 · 哈西万达广场,¥824起,4.9,共181条评论,¥824
510,华宿云上精品酒店(哈尔滨群力王府井店),高档型,近远大购物中心(群力店) · 群力新区,¥629起,4.9,共523条评论,¥629
511,哈尔滨君逸酒店,豪华型,近哈尔滨体育学院 · 哈尔滨站/果戈里商业区/医大一院,¥2219起,4.9,共4848条评论,¥2219
512,锦江之星品尚(哈尔滨中央大街步行街机场巴士站店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥855起,4.7,共728条评论,¥855
513,暖幢城宿(哈尔滨中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1104起,4.9,共52条评论,¥1104
514,马迭尔MIX酒店(哈尔滨哈西万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥830起,4.7,共323条评论,¥830
515,华韵酒店(哈尔滨高铁西站店),高档型,近金域蓝城3期深蓝杰座 · 哈西万达广场,¥827起,4.9,共438条评论,¥827
516,桃源假日旅行酒店(哈尔滨中央大街店),舒适型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥528起,4.7,共562条评论,¥528
517,锦江之星风尚酒店(哈尔滨西站城乡路地铁站店),经济型,近工农大街地铁站 · 哈西万达广场,¥423起,4.8,共483条评论,¥423
518,瑷度公寓(哈尔滨中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥550起,4.9,共1372条评论,¥550
519,奥利加尔精选酒店(哈尔滨中央大街店),高档型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥985起,4.7,共258条评论,¥985
520,哈尔滨嘉合商务精品酒店(冰雪大世界龙川路地铁站店),舒适型,近龙川路地铁站 · 冰雪大世界/太阳岛,¥887起,4.9,共128条评论,¥887
521,碧海娇龙商务宾馆(哈尔滨中央大街店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥924起,4.8,共285条评论,¥924
522,哈尔滨中央大街旅悦精品酒店(圣索菲亚教堂店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥596起,4.8,共831条评论,¥596
523,哈尔滨中央大街哈布斯堡酒店(索菲亚教堂店),豪华型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥3037起,4.9,共10520条评论,¥3037
524,南郡美宿(南骏豪庭哈飞工业店),经济型,近黑龙江东方学院 · 平房区政府,¥162起,4.9,共38条评论,¥162
525,哈尔滨中央大街华特酒店(索菲亚教堂店),豪华型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥2366起,4.8,共2939条评论,¥2366
526,哈尔滨君逸酒店(中央大街索菲亚教堂店),豪华型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥2142起,4.9,共3685条评论,¥2142
527,哈尔滨柏拉图酒店(西大直街和兴路地铁站店),舒适型,近学府路地铁站 · 江南大学城,¥429起,4.9,共944条评论,¥429
528,丽呈東谷酒店(哈尔滨中央大街店),高档型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1642起,4.9,共2537条评论,¥1642
529,哈尔滨敖麓谷雅AOLUGUYA酒店,豪华型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥1935起,4.9,共2282条评论,¥1935
530,哈尔滨颐春商务酒店,舒适型,近哈尔滨市双城区人民政府 · 双城,¥142起,4.7,共378条评论,¥142
531,禧龙宾馆(哈尔滨中央大街店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥279起,4.5,共87条评论,¥279
532,巴洛克酒店(哈尔滨中华巴洛克店),高档型,近中华巴洛克风情街 · 道外巴洛克,¥774起,4.8,共324条评论,¥774
533,哈尔滨私家白领高档公寓索菲亚中央大街店,经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥345起,4.7,共60条评论,¥345
534,凯悦之星连锁宾馆(哈站站前广场店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥353起,4.4,共330条评论,¥353
535,哈尔滨中央大街璞硯酒店,豪华型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥2327起,4.8,共2323条评论,¥2327
536,凯伦商务酒店(哈尔滨会展中心店),高档型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥382起,4.8,共214条评论,¥382
537,蒲公英宾馆(哈尔滨哈西站万达广场店),经济型,近哈西万达广场 · 哈西万达广场,¥161起,4.8,共197条评论,¥161
538,弘源精品酒店(劳动公园地铁站远东心脑血管医院店),经济型,近进乡街地铁站 · 乐松广场/东北林业大学/香坊商业区,¥148起,4.5,共151条评论,¥148
539,同亨宾馆(哈尔滨医科大学医大二院店),经济型,近哈尔滨医科大学附属第二医院 · 江南大学城,¥271起,4.4,共23条评论,¥271
540,安暖公寓(哈尔滨冰雪大世界融创乐园店),经济型,近世茂大道 · 冰雪大世界/太阳岛,¥358起,4.8,共26条评论,¥358
541,寒舍客栈(中华巴洛克街区地铁站店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥780起,4.7,共458条评论,¥780
542,哈尔滨利奥小屋主题宾馆,经济型,近省医院地铁站 · 龙塔/会展中心,¥205起,4.8,共27条评论,¥205
543,哈尔滨雪阅商旅酒店,高档型,近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院,¥597起,4.8,共462条评论,¥597
544,哈尔滨平安商务酒店,舒适型,近731部队罪证遗址 · 平房区政府,¥347起,4.7,共60条评论,¥347
545,哈尔滨友红快捷宾馆,,近烟厂地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥73起,4.8,共46条评论,¥73
546,哈尔滨风解铃·大有公寓(哈尔滨西站万达广场店),经济型,近哈西万达广场 · 哈西万达广场,¥311起,4.8,共179条评论,¥311
547,晴宿民宿(哈尔滨江北大学城学院路店),经济型,近哈尔滨信息工程学院,¥326起,4.9,共196条评论,¥326
548,哈尔滨中央大街钰轩酒店(索菲亚教堂店),高档型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥967起,4.6,共516条评论,¥967
549,哈尔滨北岸青年旅店(中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥94起,4.8,共284条评论,¥94
550,哈尔滨四益堂旅馆,经济型,近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔,¥168起,4.9,共12条评论,¥168
551,极境智慧电竞酒店(群力店),经济型,近远大购物中心(群力店) · 群力新区,¥407起,5.0,共6条评论,¥407
552,哈尔滨四季如春酒店,舒适型,近银泰城 · 群力新区,¥429起,4.6,共15条评论,¥429
553,陈阿姨公寓(黄河路分店),经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥115起,4.8,共41条评论,¥115
554,龙运宾馆(哈尔滨火车站站前广场店),舒适型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥781起,4.6,共471条评论,¥781
555,宜家精品宾馆(哈尔滨中华巴洛克风情街店),经济型,近清真寺地铁站 · 道外巴洛克,¥163起,4.6,共53条评论,¥163
556,彼家精选酒店(哈尔滨西站汇智中心店),经济型,近哈尔滨西站 · 哈西万达广场,¥510起,4.8,共249条评论,¥510
557,麗枫酒店(哈尔滨中央大街防洪纪念塔店),舒适型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1703起,4.9,共1626条评论,¥1703
558,哈尔滨莫顿酒店,经济型,近江北大学城地铁站 · 江北大学城,¥100起,4.4,共80条评论,¥100
559,M影愿酒店(黑大理工店),经济型,近黑龙江大学 · 江南大学城,¥350起,4.8,共63条评论,¥350
560,哈尔滨时光留宿公寓,经济型,近红旗大街 · 龙塔/会展中心,¥302起,5.0,共48条评论,¥302
561,哈尔滨悦途酒店式公寓(哈西万达广场店),经济型,近哈西万达广场 · 哈西万达广场,¥252起,4.9,共25条评论,¥252
562,哈尔滨群力智选假日酒店,高档型,近澜亭水汇 · 群力新区,¥1315起,4.8,共1678条评论,¥1315
563,派酒店(哈尔滨中央大街索菲亚教堂市医院店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥495起,4.8,共771条评论,¥495
564,哈尔滨茹家商务公寓,经济型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥230起,4.8,共165条评论,¥230
565,哈尔滨嘉鑫快捷旅馆,经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥259起,4.8,共37条评论,¥259
566,马迭尔·宿汽车主题酒店(哈尔滨冰雪大世界店),经济型,近哈尔滨松北万象汇 · 冰雪大世界/太阳岛,¥395起,4.9,共345条评论,¥395
567,哈尔滨浪漫西城酒店,舒适型,近哈尔滨西站 · 哈西万达广场,¥407起,4.9,共236条评论,¥407
568,金芒果假日宾馆(哈尔滨中山路店),经济型,近中山路 · 龙塔/会展中心,¥152起,4.8,共63条评论,¥152
569,天洋宾馆(哈尔滨会展中心店),经济型,近会展中心地铁站 · 龙塔/会展中心,¥319起,4.7,共94条评论,¥319
570,茗嘉宾馆(哈尔滨西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥478起,4.8,共219条评论,¥478
571,乌托邦酒店式公寓(哈尔滨冰雪大世界店),经济型,近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔,¥397起,4.9,共94条评论,¥397
572,新旺酒店式公寓(中央大街索非亚教堂店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥979起,4.7,共210条评论,¥979
573,哈尔滨纳丰隆商务宾馆,经济型,近化工路与先锋路交叉口 · 工程大学/哈尔滨东站,¥172起,4.7,共19条评论,¥172
574,哈尔滨泡泡时尚水汇酒店,经济型,近哈尔滨工业大学(二校区) · 龙塔/会展中心,¥305起,4.6,共52条评论,¥305
575,哈尔滨中天假日宾馆,,近哈尔滨医科大学附属肿瘤医院 · 医大二院/哈南站,¥123起,4.5,共16条评论,¥123
576,云·柒民宿,经济型,近江北大学城地铁站 · 江北大学城,¥215起,4.9,共14条评论,¥215
577,M影愿酒店(哈尔滨学府凯德店),经济型,近学府路地铁站 · 江南大学城,¥293起,4.8,共143条评论,¥293
578,哈尔滨御枫酒店(中央大街索菲亚教堂店),高档型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥2522起,4.9,共5159条评论,¥2522
579,哈尔滨嘉诚旅店,经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥71起,4.8,共15条评论,¥71
580,来福宾馆(哈尔滨太平国际机场店),经济型,近野狼湖生态风景区 · 太平国际机场地区,¥151起,4.8,共307条评论,¥151
581,学府宾馆,经济型,近黑龙江大学 · 江南大学城,¥182起,4.6,共96条评论,¥182
582,哈尔滨罗尔曼主题电竞公寓,经济型,近哈西万达广场 · 哈西万达广场,¥312起,4.9,共150条评论,¥312
583,哈尔滨花夜民宿,经济型,近江北大学城地铁站 · 江北大学城,¥134起,4.9,共39条评论,¥134
584,百家公寓(哈尔滨香坊万达店),经济型,近省医院地铁站 · 龙塔/会展中心,¥238起,4.7,共176条评论,¥238
585,哈尔滨富源旅店,经济型,近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥71起,4.9,共6条评论,¥71
586,哈尔滨晟佳商务宾馆,经济型,近省政府地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥227起,4.7,共37条评论,¥227
587,哈尔滨嘉悦民宿,经济型,近江北大学城地铁站 · 江北大学城,¥163起,4.9,共65条评论,¥163
588,哈尔滨恒大国际精品服务公寓,经济型,近远大购物中心(群力店) · 群力新区,¥318起,4.6,共220条评论,¥318
589,维也纳酒店(哈尔滨中央大街索菲亚店),舒适型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1447起,4.8,共956条评论,¥1447
590,紫居民宿(江畔路店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥627起,5.0,共22条评论,¥627
591,哈尔滨中央大街艾欧轻奢酒店(公路大桥店),舒适型,近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔,¥805起,4.8,共224条评论,¥805
592,地玖公馆酒店(哈尔滨中央店),舒适型,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥988起,4.8,共554条评论,¥988
593,哈尔滨芒果自助公寓,经济型,近东北林业大学 · 江南大学城,¥213起,4.9,共56条评论,¥213
594,哈尔滨雪黎优品酒店(中央大街索菲亚教堂店),高档型,近圣索菲亚教堂 · 中央大街/索菲亚大教堂/防洪纪念塔,¥1487起,4.8,共1522条评论,¥1487
595,雅居宾馆民宿,经济型,近哈尔滨医科大学附属第二医院 · 医大二院/哈南站,¥87起,4.1,共20条评论,¥87
596,思冉酒店式公寓(哈尔滨西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥337起,4.9,共142条评论,¥337
597,哈西珍橘公寓(哈尔滨黑龙江大学店),经济型,近哈尔滨医科大学 · 江南大学城,¥121起,4.5,共7条评论,¥121
598,哈尔滨索菲特大酒店,五星级,近省医院地铁站 · 龙塔/会展中心,¥1606起,4.9,共1518条评论,¥1606
599,哈尔滨素林酒店公寓,经济型,近远大购物中心(群力店) · 群力新区,¥306起,4.9,共43条评论,¥306
600,哈尔滨左岸宾馆(江北师大学院路店),经济型,近江北大学城地铁站 · 江北大学城,¥81起,4.8,共89条评论,¥81
601,哈尔滨滨钢宾馆(省医院店),经济型,近红旗大街 · 龙塔/会展中心,¥152起,4.5,共36条评论,¥152
602,哈尔滨苹果假日公寓,经济型,近黑龙江大学 · 江南大学城,¥227起,4.6,共20条评论,¥227
603,哈尔滨丽尚·雅居公寓(群力星光耀店),经济型,近群力大道 · 群力新区,¥192起,4.8,共28条评论,¥192
604,哈尔滨芒果酒店式公寓,经济型,近远大购物中心(群力店) · 群力新区,¥192起,4.8,共53条评论,¥192
605,哈尔滨祥云宾馆(太平国际机场店),经济型,近先富小学校 · 太平国际机场地区,¥157起,4.9,共3087条评论,¥157
606,哈尔滨蘭舍酒店,高档型,近印象城 · 阿城商业区,¥243起,4.7,共171条评论,¥243
607,怡家酒店式公寓(群力远大店),经济型,近远大购物中心(群力店) · 群力新区,¥233起,4.9,共100条评论,¥233
608,紫云旅店(哈尔滨火车站店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥111起,4.4,共21条评论,¥111
609,阿勒锦酒店(哈尔滨西站万达广场店),舒适型,近哈西万达广场 · 哈西万达广场,¥468起,4.9,共101条评论,¥468
610,哈尔滨福裕商务酒店(万达广场龙塔店),高档型,近省政府地铁站 · 龙塔/会展中心,¥643起,4.8,共370条评论,¥643
611,宏府时尚主题宾馆(哈尔滨中央大街店),,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥268起,4.8,共51条评论,¥268
612,巧克力精品旅馆(哈尔滨农大店),经济型,近东北农业大学地铁站 · 龙塔/会展中心,¥123起,4.6,共72条评论,¥123
613,双城逸然华都商务宾馆,经济型,近哈尔滨市双城区人民政府 · 双城,¥99起,4.9,共23条评论,¥99
614,哈尔滨吉图宾悦商务酒店,经济型,近哈尔滨市双城区人民政府 · 双城,¥143起,4.8,共95条评论,¥143
615,哈尔滨金瑞宾馆(哈西万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥92起,4.0,共47条评论,¥92
616,哈尔滨龙德宾馆,经济型,近哈尔滨医科大学附属第一医院 · 道外巴洛克,¥177起,4.9,共17条评论,¥177
